ReportNetEnvelopeFileId,flatpComments,flatpEUFund,flatpEUFundName,flatpExpCapacity,flatpExpecDateCompletion,flatpExpecDatePerformance,flatpExpecDateStart,flatpExpecDateStartWork,flatpExpecTreatment,flatpExpLoad,flatpExpLoadTruck,flatpInv,flatpLoan,flatpLoanName,flatpMeasures,flatpOtherFund,flatpOtherFundName,flatpReasons,flatpStatus,flarepCode,uwwCode,uwwName
28562,,,,15000,20201231,20211231,20111231,20120101,3Nm,268,,8.34,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0655,SCARICO_MONTALCINO_ZONA_NORD_COMUNE
28562,,,,15000,20201231,20211231,20111231,20120101,3Nm,268,,8.34,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0648,SCARICO_MONTALCINO_ZONA_NORD_PORTA_BURELLI
28562,,,,15000,20201231,20211231,20111231,20120101,3Nm,268,,8.34,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0652,SCARICO_MONTALCINO_ZONA_OVEST_ENOTECA_DALMAZIO
28562,,,,15000,20201231,20211231,20111231,20120101,3Nm,268,,8.34,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0649,SCARICO_MONTALCINO_ZONA_OVEST_FONTE_BUIA_1
28562,,,,15000,20201231,20211231,20111231,20120101,3Nm,268,,8.34,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0650,SCARICO_MONTALCINO_ZONA_OVEST_FONTE_BUIA_2
28562,,,,15000,20201231,20211231,20111231,20120101,3Nm,268,,8.34,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0651,SCARICO_MONTALCINO_ZONA_OVEST_PORTA_CERBAIA
28562,,,,15000,20201231,20211231,20111231,20120101,3Nm,52,,8.34,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0660,SCARICO_MONTALCINO_V_DELL_AIETTA_V_DELLA_SPIGA
28562,,,,2050000,20211231,20221231,20030101,20130101,3NPm,39,,5.38,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0221,LOC_MONTECALVOLI_PROV_543
28562,,,,2050000,20211231,20221231,20030101,20130101,3NPm,275,,5.38,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0220,LOC_MONTECALVOLI_PROV_532
28562,,,,2050000,20211231,20221231,20030101,20130101,3NPm,73,,5.38,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0222,LOC_MONTECALVOLI_PROV_562
28562,,,,2050000,20211231,20221231,20030101,20130101,3NPm,51,,5.38,,,Collettamento scarichi non depurati a depuratore esistente,0,,Parziale collettamento all'impianto di depurazione,NC,IT006,IT09RT0285,LOC_MONTECALVOLI_S_P_FRANCESCA_545
