ReportNetEnvelopeFileId,flarepCode,soecCapacity,soecCode,soecEndYear,soecEUFunds,soecInvCol,soecInvIAS,soecInvTp,soecJobs,soecLenghtCoCs,soecLenghtSaCs,soecLenghtStCs,soecNumbIAS,soecOpCosts,soecPeriod,soecPop,soecStartYear,soecInvComments
27798,FI2016ART17,7100000,FIUWWINV2020,20201231,,55,,334,,,,,,334,EXP,,20200101,
27798,FI2016ART17,7200000,FIUWWINV2021,20211231,,55,,338,,,,,,338,EXP,,20210101,
27798,FI2016ART17,7300000,FIUWWINV2022,20221231,,55,,343,,,,,,343,EXP,,20220101,
27796,BE-2,4026431,BEUWWINV2015_W,20151231,,42,,109.6,,,,,,,P,,20150101,"Walloon Region. Actual investments costs: sum of all final paiements of the year 2015 related to investments in collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investmenent costs: costs of works and costs related."
27796,BE-1,1460000,BEUWWINV2012_B,20121231,,72.77,,0,,,,,,,P,,20120101,Brussels Region: renovation and rehabilitation of the sewer network - VAT not included
27796,BE-1,15000,BEUWWINVRBCBOTENREUKEN_B,20201231,,6,,0,,,,,,,EXP,,20190101,Brussels Region: building new Storm Basin Ten Reuken - VAT not included
27796,BE-1,15000,BEUWWINVRBCBOWOL_B,20231231,,71,,0,,,,,,,EXP,,20200101,Brussels Region: building new Storm Basin Woluwe- VAT not included
27796,BE-1,15000,BEUWWINVRBCCOGEL_B,20191231,,7,,0,,,,,,,CU,,20180101,Brussels Region: building new collector Geleitsbeek - VAT not included
28562,IT006,1200081,ITUWWINV2006,20061231,,49.857,,36.171,,,,,,,P,,20060101,
28562,IT006,1200081,ITUWWINV2007,20071231,,49.857,,36.171,,,,,,,P,,20070101,
28562,IT006,1200081,ITUWWINV2008,20081231,,49.857,,36.171,,,,,,,P,,20080101,
28562,IT006,1200081,ITUWWINV2009,20091231,,49.857,,36.171,,,,,,,P,,20090101,
28562,IT006,1200081,ITUWWINV2010,20101231,,49.857,,36.171,,,,,,,P,,20100101,
28562,IT006,1200081,ITUWWINV2011,20111231,,49.857,,36.171,,,,,,,P,,20110101,
